id,Actor1,Actor2,Actor3,Director_Name,original_title,genres_list,Comb
2,Turo Pajala,Susanna Haavisto,Matti Pellonpää,Aki Kaurismäki,Ariel,Drama Crime,Turo Pajala Susanna Haavisto Matti Pellonpää Aki Kaurismäki Drama Crime
3,Matti Pellonpää,Kati Outinen,Sakari Kuosmanen,Aki Kaurismäki,Varjoja paratiisissa,Drama Comedy,Matti Pellonpää Kati Outinen Sakari Kuosmanen Aki Kaurismäki Drama Comedy
5,Tim Roth,Antonio Banderas,Jennifer Beals,Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino,Four Rooms,Crime Comedy,Tim Roth Antonio Banderas Jennifer Beals Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino Crime Comedy
6,Emilio Estevez,Cuba Gooding Jr.,Denis Leary,Stephen Hopkins,Judgment Night,Action Thriller Crime,Emilio Estevez Cuba Gooding Jr. Denis Leary Stephen Hopkins Action Thriller Crime
11,Mark Hamill,Harrison Ford,Carrie Fisher,George Lucas,Star Wars,Adventure Action Sci-Fi,Mark Hamill Harrison Ford Carrie Fisher George Lucas Adventure Action Sci-Fi
12,Albert Brooks,Ellen DeGeneres,Alexander Gould,Andrew Stanton,Finding Nemo,Animation Family,Albert Brooks Ellen DeGeneres Alexander Gould Andrew Stanton Animation Family
13,Tom Hanks,Robin Wright,Gary Sinise,Robert Zemeckis,Forrest Gump,Comedy Drama Romance,Tom Hanks Robin Wright Gary Sinise Robert Zemeckis Comedy Drama Romance
14,Kevin Spacey,Annette Bening,Thora Birch,Sam Mendes,American Beauty,Drama,Kevin Spacey Annette Bening Thora Birch Sam Mendes Drama
15,Orson Welles,Joseph Cotten,Dorothy Comingore,Orson Welles,Citizen Kane,Mystery Drama,Orson Welles Joseph Cotten Dorothy Comingore Orson Welles Mystery Drama
16,Björk,Catherine Deneuve,David Morse,Lars von Trier,Dancer in the Dark,Drama Crime Music,Björk Catherine Deneuve David Morse Lars von Trier Drama Crime Music
17,Sean Bean,Maria Bello,Richard Elfyn,John Fawcett,The Dark,Horror Thriller Mystery,Sean Bean Maria Bello Richard Elfyn John Fawcett Horror Thriller Mystery
18,Bruce Willis,Gary Oldman,Ian Holm,Luc Besson,The Fifth Element,Adventure Fantasy Action Thriller Sci-Fi,Bruce Willis Gary Oldman Ian Holm Luc Besson Adventure Fantasy Action Thriller Sci-Fi
20,Sarah Polley,Amanda Plummer,Scott Speedman,Isabel Coixet,My Life Without Me,Drama Romance,Sarah Polley Amanda Plummer Scott Speedman Isabel Coixet Drama Romance
21,Michael Hynson,Robert August,Lord 'Tally Ho' Blears,Bruce Brown,The Endless Summer,Documentary,Michael Hynson Robert August Lord 'Tally Ho' Blears Bruce Brown Documentary
22,Johnny Depp,Geoffrey Rush,Orlando Bloom,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,Johnny Depp Geoffrey Rush Orlando Bloom Gore Verbinski Adventure Fantasy Action
24,Uma Thurman,Lucy Liu,Vivica A. Fox,Quentin Tarantino,Kill Bill: Vol. 1,Action Crime,Uma Thurman Lucy Liu Vivica A. Fox Quentin Tarantino Action Crime
25,Jamie Foxx,Jake Gyllenhaal,Scott MacDonald,Sam Mendes,Jarhead,Drama War,Jamie Foxx Jake Gyllenhaal Scott MacDonald Sam Mendes Drama War
26,Lior Ashkenazi,Knut Berger,Caroline Peters,Eytan Fox,LaLehet Al HaMayim,Drama,Lior Ashkenazi Knut Berger Caroline Peters Eytan Fox Drama
27,Kieran O'Brien,Margo Stilley,Courtney Taylor-Taylor,Michael Winterbottom,9 Songs,Drama Music Romance,Kieran O'Brien Margo Stilley Courtney Taylor-Taylor Michael Winterbottom Drama Music Romance
28,Martin Sheen,Marlon Brando,Robert Duvall,Francis Ford Coppola,Apocalypse Now,Drama War,Martin Sheen Marlon Brando Robert Duvall Francis Ford Coppola Drama War
30,Tsutomu Isobe,Ami Hasegawa,Gara Takashima,Kouji Morimoto,彼女の想いで,Animation Sci-Fi,Tsutomu Isobe Ami Hasegawa Gara Takashima Kouji Morimoto Animation Sci-Fi
33,Clint Eastwood,Gene Hackman,Morgan Freeman,Clint Eastwood,Unforgiven,Western,Clint Eastwood Gene Hackman Morgan Freeman Clint Eastwood Western
35,Dan Castellaneta,Julie Kavner,Nancy Cartwright,David Silverman,The Simpsons Movie,Animation Comedy Family,Dan Castellaneta Julie Kavner Nancy Cartwright David Silverman Animation Comedy Family
38,Jim Carrey,Kate Winslet,Kirsten Dunst,Michel Gondry,Eternal Sunshine of the Spotless Mind,Sci-Fi Drama Romance,Jim Carrey Kate Winslet Kirsten Dunst Michel Gondry Sci-Fi Drama Romance
55,Gael García Bernal,Vanessa Bauche,Goya Toledo,Alejandro González Iñárritu,Amores perros,Drama Thriller,Gael García Bernal Vanessa Bauche Goya Toledo Alejandro González Iñárritu Drama Thriller
58,Johnny Depp,Orlando Bloom,Keira Knightley,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski Adventure Fantasy Action
59,Viggo Mortensen,Maria Bello,Heidi Hayes,David Cronenberg,A History of Violence,Drama Thriller Crime,Viggo Mortensen Maria Bello Heidi Hayes David Cronenberg Drama Thriller Crime
62,Keir Dullea,Gary Lockwood,William Sylvester,Stanley Kubrick,2001: A Space Odyssey,Sci-Fi Mystery Adventure,Keir Dullea Gary Lockwood William Sylvester Stanley Kubrick Sci-Fi Mystery Adventure
63,Bruce Willis,Madeleine Stowe,Brad Pitt,Terry Gilliam,Twelve Monkeys,Sci-Fi Thriller Mystery,Bruce Willis Madeleine Stowe Brad Pitt Terry Gilliam Sci-Fi Thriller Mystery
